time_s,thrust_N,mass_flow_kg_s
8.12,54533.0,22.4149978626155
8.13,54543.1,22.419149320969385
8.15,54553.3,22.42334188287133
8.16,54563.6,22.42757554832133
8.17,54574.0,22.43185031731939
8.19,54584.7,22.436248396961624
8.2,54595.7,22.440769787248033
8.22,54607.2,22.445496695274734
8.23,54619.2,22.450429121041726
8.24,54631.9,22.45564927164513
8.26,54645.4,22.461198250632993
8.27,54659.6,22.46703495445727
8.29,54674.7,22.473241590214066
8.3,54690.7,22.479818157903388
8.32,54707.7,22.486805761073292
8.33,54725.8,22.49424550327184
8.34,54745.1,22.502178488047086
8.36,54765.9,22.510728026043207
8.37,54788.1,22.519853013712144
8.39,54811.8,22.529594554601953
8.4,54837.0,22.539952648712635
8.41,54863.8,22.550968399592254
8.43,54892.1,22.56260070369274
8.44,54921.7,22.574767353917988
8.46,54952.6,22.587468350267994
8.47,54984.8,22.60070369274276
8.48,55018.0,22.6143500706981
8.5,55052.2,22.62840748413403
8.51,55087.3,22.642834829502483
8.53,55123.3,22.657632106803458
8.54,55159.9,22.672676005392784
8.55,55197.2,22.688007628818518
8.57,55234.8,22.70346256288843
8.58,55272.6,22.718999704054454
8.6,55310.6,22.734619052316596
8.61,55348.4,22.75015619348262
8.62,55385.9,22.76557002400447
8.64,55422.8,22.780737233237975
8.65,55459.1,22.795657821183124
8.67,55494.6,22.810249580743807
8.68,55529.3,22.82451251192003
8.7,55563.1,22.83840551116372
8.71,55596.1,22.85196968202295
8.72,55628.3,22.865205024497715
8.74,55659.7,22.87811153858801
8.75,55690.3,22.89068922429384
8.77,55720.1,22.902938081615204
8.78,55749.1,22.9148581105521
8.79,55777.2,22.926408207556474
8.81,55804.5,22.937629476176383
8.82,55831.0,22.948521916411824
8.84,55856.7,22.959085528262797
8.85,55881.7,22.969361415277366
8.86,55906.2,22.97943178455164
8.88,55930.2,22.989296636085626
8.89,55953.8,22.99899707342738
8.91,55977.2,23.00861530367301
8.92,56000.3,23.018110223274473
8.93,56023.2,23.027522935779814
8.95,56045.9,23.03685344118904
8.96,56068.4,23.046101739502152
8.98,56090.9,23.055350037815263
8.99,56113.2,23.064516129032256
9.0,56135.4,23.073641116701193
9.02,56157.5,23.08272500082207
9.03,56179.4,23.091726677846832
9.05,56201.2,23.10068725132353
9.06,56222.9,23.109606721252177
9.07,56244.6,23.11852619118082
9.09,56266.1,23.12736345401335
9.1,56287.6,23.136200716845877
9.12,56308.9,23.14495577258229
9.13,56330.1,23.15366972477064
9.14,56351.0,23.16226036631482
9.16,56371.8,23.17080990431094
9.17,56392.3,23.179236131662886
9.19,56412.5,23.187539048370656
9.2,56432.5,23.19575975798231
9.21,56452.2,23.203857156949784
9.23,56471.5,23.211790141725032
9.24,56490.6,23.21964091940416
9.26,56509.2,23.227286179343
9.27,56527.4,23.234767025089607
9.28,56545.1,23.24204235309592
9.3,56562.3,23.249112163361943
9.31,56578.8,23.255894248791556
9.33,56594.7,23.262429712932818
9.34,56610.0,23.268718555785735
9.35,56624.6,23.27471967380224
9.37,56638.5,23.28043306698234
9.38,56651.7,23.28585873532603
9.4,56664.2,23.290996678833313
9.41,56676.1,23.295888001052248
9.42,56687.4,23.300532701982835
9.44,56698.1,23.304930781625067
9.45,56708.3,23.309123343527013
9.47,56717.9,23.313069284140607
9.48,56726.9,23.31676860346585
9.49,56735.5,23.32030350859886
9.51,56743.5,23.323591792443523
9.52,56751.1,23.32671566209595
9.54,56758.3,23.329675117556146
9.55,56765.1,23.33247015882411
9.56,56771.6,23.335141889447897
9.58,56777.8,23.33769030942751
9.59,56783.9,23.340197625859062
9.61,56789.8,23.342622735194503
9.62,56795.5,23.344965637433823
9.63,56801.2,23.347308539673143
9.65,56806.7,23.349569234816347
9.66,56812.1,23.351788826411493
9.68,56817.4,23.353967314458583
9.69,56822.7,23.35614580250567
9.7,56827.9,23.3582831870047
9.72,56833.0,23.360379467955674
9.73,56838.2,23.3625168524547
9.75,56843.2,23.364572029857616
9.76,56848.3,23.36666831080859
9.77,56853.3,23.368723488211504
9.79,56858.3,23.370778665614417
9.8,56863.3,23.37283384301733
9.82,56868.2,23.37484791687218
9.83,56873.2,23.376903094275097
9.84,56878.1,23.378917168129952
9.86,56883.0,23.380931241984808
9.87,56887.8,23.382904212291606
9.89,56892.6,23.3848771825984
9.9,56897.4,23.386850152905197
9.91,56902.2,23.388823123211992
9.93,56906.9,23.390754989970734
9.94,56911.5,23.392645753181412
9.96,56916.2,23.39457761994015
9.97,56920.8,23.396468383150832
9.98,56925.3,23.398318042813457
10.0,56929.9,23.400208806024136
10.01,56934.4,23.402058465686757
10.03,56938.8,23.40386702180132
10.04,56943.2,23.405675577915883
10.05,56947.6,23.407484134030447
10.07,56952.0,23.409292690145012
10.08,56956.3,23.41106014271152
10.1,56960.6,23.412827595278024
10.11,56964.9,23.41459504784453
10.12,56969.1,23.416321396862976
10.14,56973.3,23.418047745881424
10.15,56977.4,23.419732991351815
10.17,56981.5,23.421418236822202
10.18,56985.6,23.42310348229259
10.19,56989.7,23.424788727762976
10.21,56993.7,23.42643286968531
10.22,56997.7,23.42807701160764
10.24,57001.7,23.42972115352997
10.25,57005.6,23.431324191904242
10.26,57009.5,23.432927230278516
10.28,57013.4,23.43453026865279
10.29,57017.2,23.436092203479003
10.31,57021.0,23.437654138305216
10.32,57024.7,23.439174969583373
10.33,57028.4,23.44069580086153
10.35,57032.1,23.442216632139683
10.36,57035.8,23.443737463417843
10.38,57039.4,23.44521719114794
10.39,57043.0,23.446696918878036
10.4,57046.5,23.448135543060076
10.42,57050.0,23.449574167242115
10.43,57053.4,23.4509716878761
10.45,57056.9,23.452410312058138
10.46,57060.3,23.453807832692117
10.47,57063.6,23.45516424977804
10.49,57066.9,23.456520666863963
10.5,57070.2,23.457877083949885
10.52,57073.5,23.459233501035808
10.53,57076.7,23.46054881457367
10.54,57079.8,23.46182302456348
10.56,57083.0,23.463138338101345
10.57,57086.1,23.46441254809115
10.59,57089.1,23.4656456545329
10.6,57092.1,23.466878760974645
10.61,57095.1,23.468111867416393
10.63,57098.1,23.469344973858142
10.64,57101.0,23.47053697675183
10.66,57103.8,23.471687876097466
10.67,57106.7,23.47287987899115
10.69,57109.5,23.474030778336786
10.7,57112.2,23.475140574134358
10.71,57114.9,23.476250369931932
10.73,57117.6,23.477360165729504
10.74,57120.3,23.47846996152708
10.76,57122.9,23.479538653776594
10.77,57125.5,23.480607346026108
10.78,57128.0,23.481634934727566
10.8,57130.5,23.48266252342902
10.81,57133.0,23.48369011213048
10.83,57135.4,23.484676597283876
10.84,57137.8,23.485663082437277
10.85,57140.1,23.486608464042614
10.87,57142.5,23.487594949196012
10.88,57144.7,23.488499227253293
10.9,57147.0,23.489444608858637
10.91,57149.2,23.490348886915918
10.92,57151.4,23.4912531649732
10.94,57153.5,23.492116339482422
10.95,57155.6,23.492979513991646
10.97,57157.6,23.493801584952813
10.98,57159.6,23.494623655913976
10.99,57161.6,23.495445726875143
11.01,57163.6,23.496267797836307
11.02,57165.5,23.497048765249414
11.04,57167.3,23.497788629114464
11.05,57169.1,23.498528492979514
11.06,57170.9,23.499268356844563
11.08,57172.6,23.499967117161553
11.09,57174.3,23.500665877478543
11.11,57176.0,23.501364637795533
11.12,57177.6,23.502022294564465
11.13,57179.2,23.5026799513334
11.15,57180.7,23.50329650455427
11.16,57182.2,23.503913057775144
11.18,57183.7,23.50452961099602
11.19,57185.1,23.505105060668836
11.2,57186.5,23.50568051034165
11.22,57187.8,23.50621485646641
11.23,57189.1,23.506749202591166
11.25,57190.4,23.507283548715925
11.26,57191.6,23.507776791292624
11.27,57192.8,23.508270033869323
11.29,57193.9,23.508722172897965
11.3,57195.0,23.509174311926603
11.32,57196.1,23.509626450955246
